,stt,name,address,lat,lng,reviews,rating,query,city
13,14,Bãi đỗ xe,"Address: Ngõ 920 Đ. Bạch Đằng, Thanh Lương, Hai Bà Trưng, Hà Nội, Vietnam",21.0067726,105.8695203,[],,bãi đỗ xe Hà Nội,Hà Nội
14,15,Bãi gửi xe D9,"Address: D9 P. Trần Đại Nghĩa, Đồng Tâm, Hai Bà Trưng, Hà Nội, Vietnam",21.0039847,105.8441366,"[""Can parking lot D9 accommodate cars?"", ""Spacious for many cars""]",3.6,bãi đỗ xe Hà Nội,Hà Nội
15,16,Bãi Đậu Xe 24/7,"Address: 1 P. Tố Hữu, Nhân Chính, Thanh Xuân, Hà Nội 100000, Vietnam",20.9987748,105.7964516,[],5.0,bãi đỗ xe Hà Nội,Hà Nội
16,17,Bãi gửi xe số 1,"Address: Khu đô thị Định Công, Hoàng Mai, Hanoi, Vietnam",20.9868287,105.8312314,"[""Car parking lot in Dinh Cong urban area"", ""Located at the end of Tran Dien street, there is also a car wash service which is very convenient.""]",4.2,bãi đỗ xe Hà Nội,Không xác định
17,18,Bãi đỗ xe máy,"Address: 64 Ng. 45 Đ. Võ Chí, Nghĩa Đô, Cầu Giấy, Hà Nội, Vietnam",21.0507824,105.8033172,[],1.0,bãi đỗ xe Hà Nội,Hà Nội
18,19,Bãi đo xe,"Address: Ngõ 90 P. Yên Lạc, Vĩnh Tuy, Hai Bà Trưng, Hà Nội, Vietnam",21.001345,105.864885,"[""Large parking lot""]",5.0,bãi đỗ xe Hà Nội,Hà Nội
19,20,Bãi đỗ xe ô tô Nguyễn Công Hoan,"Address: 8 P. Nguyễn Công Hoan, Giảng Võ, Ba Đình, Hà Nội, Vietnam",21.0272685,105.8167297,"[""Modern 3-storey parking lot, very civilized""]",4.1,bãi đỗ xe Hà Nội,Hà Nội
20,21,Thường tín hà nội,"Address: 2RM4+R2M, Cầu Dịch Vọng, Quan Hoa, Ba Đình, Hà Nội, Vietnam",21.034584,105.8050563,[],4.7,parking Hà Nội,Hà Nội
21,22,Bac Co Parking,"Address: 214 Đ. Trần Khánh Dư, Street, Hoàn Kiếm, Hà Nội, Vietnam",21.0264429,105.8590661,"[""Very beautiful, ancient, well preserved.""]",3.9,parking Hà Nội,Hà Nội
22,23,Bãi gửi xe Mirai,"Address: 56 P. Hai Bà Trưng, Hàng Bông, Hoàn Kiếm, Hà Nội, Vietnam",21.025945,105.8472596,[],5.0,parking Hà Nội,Hà Nội
23,24,15A Phương Mai,"Address: 15A Phương Mai, Đống Đa, Hà Nội 100000, Vietnam",21.0038019,105.8386591,"[""I was born in 75, Huu Huan Khoi went deep in the morning until noon around 11:30 a.m. to buy military shirts. Now the teams visit Bac Ninh pagoda because Mr. Park brought shares of the stilt houses to the market on Monday, so he negated the legitimate temple of blood."", ""Paying for parking and nagging is so scary, now even the security guards are so powerful""]",4.2,parking Hà Nội,Hà Nội
24,25,117 Trần Duy Hưng Parking,"Address: 117 Đ. Trần Duy Hưng, Trung Hoà, Cầu Giấy, Hà Nội, Vietnam",21.0079468,105.7972974,"[""Spacious and clean parking lot"", ""Can you park the car overnight? price please""]",3.8,parking Hà Nội,Hà Nội
25,26,Đường thanh niên,"Address: 7 Đ. Thanh Niên, Trúc Bạch, Ba Đình, Hà Nội, Vietnam",21.0473743,105.837221,"[""The road goes between West Lake and Truc Bach Lake. This road goes in the summer afternoon to watch the sunset on West Lake, which is extremely beautiful and romantic.""]",5.0,parking Hà Nội,Hà Nội
26,27,Gather Vietnam's Parking Space,"Address: 40 Xóm Chùa, Quảng An, Tây Hồ, Hà Nội, Vietnam",21.0626553,105.8227416,"[""Drinks are good, staff is also enthusiastic, the shop space is beautifully decorated"", ""The shop is so beautiful, it looks cool, very retreat, very green.\nThe shop plays good music. I like Dung Cuc's song the most, very handsome. Thanh Kieu"", ""The service staff is very enthusiastic and friendly, the food suits my taste, especially Ragu. Will come back next time""]",5.0,parking Hà Nội,Hà Nội
27,28,Mèo Cô Ca thân thiện,"Address: 101c8 P. Thành Công, Khu tập thể Bắc Thành Công, Ba Đình, Hà Nội, Vietnam",21.0232827,105.8124959,"[""The gentle and friendly fat cat lives with the infamous orange cat. The owners are also easy-going and wash their hair okay."", ""the cat is very soft and smelly""]",5.0,parking Hà Nội,Hà Nội
28,29,Bãi đỗ xe CP taxi Hà Nội,"Address: 2R67+RV6, Ng. 105 P. Láng Hạ, Láng Hạ, Đống Đa, Hà Nội, Vietnam",21.0120375,105.8146406,[],4.0,parking Hà Nội,Hà Nội
29,30,Gửi xe Công viên - Nguyễn Đình Chiểu,"Address: 2R8X+M32, P. Nguyễn Đình Chiểu, Lê Đại Hành, Hai Bà Trưng, Hà Nội, Vietnam",21.0166327,105.8476317,"[""Near the National Eye Hospital"", ""Reasonable and transparent prices"", ""Very reasonable price with 40k and the car is enthusiastic and fun""]",3.9,parking Hà Nội,Hà Nội
30,31,EVN parking lot,"Address: 1 P. Nguyễn Khắc Nhu, Trúc Bạch, Ba Đình, Hà Nội, Vietnam",21.0439337,105.8429688,"[""Small one and not enough for all evn people."", ""The outdoor beach is quite large, licensed, and usually full after 8:30 a.m. to noon. 24/7 custody. Mainly for employees and guests of 2 EVN buildings"", ""Parking lot for EVN""]",3.2,parking Hà Nội,Hà Nội
31,32,Đổ than,"Address: 2RHM+4M3, Văn Miếu – Quốc Tử Giám, Đống Đa, Hà Nội, Vietnam",21.0277644,105.8341598,[],,parking Hà Nội,Hà Nội
32,33,D6 Thành Công,"Address: Ngõ 9 P. Nguyên Hồng, Thành Công, Ba Đình, Hà Nội, Vietnam",21.023622,105.812858,"[""Is there any place nearby that allows monthly parking?""]",5.0,parking Hà Nội,Hà Nội
33,34,Bãi Gửi Xe,"Address: 21 P. Thái Thịnh, Ngã Tư Sở, Hoàn Kiếm, Hà Nội, Vietnam",21.006453,105.821833,"[""This parking lot is full of natural dogs and chickens.""]",4.3,parking Hà Nội,Hà Nội
34,35,"Cửa hàng lốp,ác quy 517 Minh Khai","Address: 517 P. Minh Khai, Vĩnh Phú, Hai Bà Trưng, Hà Nội, Vietnam",21.0000794,105.870658,"[""Very good service worthy of 5 stars.""]",5.0,parking Hà Nội,Hà Nội
35,36,Bến Xe Nam Anh,"Address: 2V3G+756, Thanh Long, Hai Bà Trưng, Hà Nội, Vietnam",21.003154,105.8754037,"[""Meeting the night shift guard was very kind! Sometimes there's a lot of cars and it's just a little irritating! 🤣🤣🤣 …"", ""A professional bus station and good transportation service."", ""Near A Dung Cua warehouse""]",4.0,parking Hà Nội,Hà Nội
36,37,Temporary car parking place,"Address: XRJ8+G4M, Kim Văn, Thanh Xuân, Hà Nội, Vietnam",20.9813418,105.8152956,"[""High fees, crowded, many cars out of order""]",4.2,parking Hà Nội,Hà Nội
37,38,Bãi xe Hà anh 161 trần hoà,"Address: ngõ 161 P. Trần Hòa, Định Công, Hoàng Mai, Hà Nội, Vietnam",20.9756617,105.8256676,[],4.5,parking Hà Nội,Hà Nội
38,39,Bãi Xe Thuý Lĩnh ( Số 1 Thuý Lĩnh ),"Address: Số 1 Thúy Lĩnh, Lĩnh Nam, Hoàng Mai, Hà Nội, Vietnam",20.9781845,105.8917778,"[""An amazing experience for children. My classes enjoyed all the activities:\n\nToday's Trip: …"", ""The first border gate at the end of Linh Nam road is a parking lot for transporting goods to the highlands. 20k deliveries are convenient, but the parking lot is difficult to access.""]",4.2,parking Hà Nội,Hà Nội
39,40,Bãi Để Xe Chùa Láng,"Address: 157 P. Chùa Láng, Láng Thượng, Đống Đa, Hà Nội, Vietnam",21.0231036,105.8031782,"[""Enthusiastic and responsible parking lot with ok prices"", ""Spacious parking. The parking lot owner is enthusiastic and cheerful. Parking price 180k/day (<3 days), 160k/day (>3 days). The car owner owns the car, the parking lot is not responsible..."", ""Just brought the car here to be washed so I met a friendly guy. I was drinking tea somewhere else and he brought the car over for me.""]",3.7,parking Hà Nội,Hà Nội
40,41,Bệnh viện nhi trung ương,"Address: 2RG5+542, Bệnh Viện Nhi, Láng Thượng, Đống Đa, Hà Nội, Vietnam",21.0253945,105.8077691,"[""All for the future of our children. Giving future generations the best conditions to overcome challenges.""]",4.2,parking Hà Nội,Hà Nội
41,42,Bãi giữ xe đình Kim Liên,"Address: 152 P. Xã Đàn, Phương Liên, Đống Đa, Hà Nội, Vietnam",21.010115,105.838317,"[""Spontaneous parking lot inside the Kim Lien Village Well area and on the sidewalk in front of the Kim Lien Village Well.\nThe number of monthly ticket vehicles is up to more than 500 motorbikes, dozens …""]",2.0,parking Hà Nội,Hà Nội
42,43,BÃI ĐỖ XE ÔTÔ NGÀY ĐÊM,"Address: An Dương Vương, Phố Thượng Thụy, Hanoi City, Hà Nội 000084, Vietnam",21.089516,105.8022578,[],,parking Hà Nội,Hà Nội
43,44,Bãi Xe Huệ Duy Hà Nội,"Address: XVPX+FJ6, Lĩnh Nam, Hoàng Mai, Hà Nội, Vietnam",20.9861586,105.8990136,[],,parking Hà Nội,Hà Nội
44,45,Logitem Parking Lot,"Address: B10A P. Nguyễn Chánh, Trung Hoà, Cầu Giấy, Hà Nội, Vietnam",21.0163652,105.7863976,"[""Overnight parking is available""]",3.0,parking Hà Nội,Hà Nội
45,46,Xe tài thọ cầu cảng hà nội,"Address: 78 Đ. Bạch Đằng, Thanh Long, Hai Bà Trưng, Hà Nội, Vietnam",21.0041043,105.8715487,[],,parking Hà Nội,Hà Nội
46,47,Bãi gửi xe,"Address: Số 73 Ngh. 3/4 P. Hoàng Đạo Thành, Hạ Đình, Thanh Xuân, Hà Nội, Vietnam",20.9820363,105.8123172,[],4.0,parking Hà Nội,Hà Nội
47,48,Bãi đỗ xe Yên Phụ Nghi Tàm,"Address: 3R5M+CM7, Đ. Nghi Tàm, Yên Phụ, Tây Hồ, Hà Nội, Vietnam",21.0585258,105.8341597,[],,parking Hà Nội,Hà Nội
48,49,Bãi xe Electric Power University,"Address: 235 Hoàng Quốc Việt, Khu tập thể Nghĩa Tân, Cầu Giấy, Hà Nội, Vietnam",21.0470872,105.7851829,[],5.0,parking Hà Nội,Hà Nội
49,50,Bãi Gửi Xe số 16 ngõ 296,"Address: 16 Ngõ 296 Lĩnh Nam, Lĩnh Nam, Hoàng Mai, Hà Nội, Vietnam",20.9798947,105.8790592,"[""Cheap price, enthusiastic service"", ""Good service, affordable price.""]",3.3,parking Hà Nội,Hà Nội
50,51,Garage Lương Yên,"Address: 173 P. Hồng Mai, Bạch Mai, Hai Bà Trưng, Hà Nội, Vietnam",20.9988776,105.8553498,[],4.0,parking Hà Nội,Hà Nội
51,52,Parking Lot of the Institute,"Address: 2W4J+FCP, Trâu Quỳ, Gia Lâm, Hà Nội, Vietnam",21.006217,105.9310918,"[""Modern facilities but the security guards behave inappropriately, especially towards students! …""]",3.3,parking Hà Nội,Hà Nội
52,53,Bãi xe Hằng Nga,"Address: 885 Đ. Tam Trinh, Yên Sở, Hoàng Mai, Hà Nội, Vietnam",20.9721098,105.865428,"[""It's OK, everyone, it's dirty there and there are a lot of rats.""]",4.0,parking Hà Nội,Hà Nội
53,54,Bãi gửi xe CV Thống Nhất,"Address: 2R5W+873, Lê Đại Hành, Hai Bà Trưng, Hà Nội, Vietnam",21.0082606,105.8456587,"[""People ride their bicycles into the park but the security guards ask for an additional fee? …""]",2.8,parking Hà Nội,Hà Nội
54,55,Điểm Đỗ xe Trần Nhật Duật,"Address: 2VP3+M9V, Đ. Trần Nhật Duật, Phố cổ Hà Nội, Hoàn Kiếm, Hà Nội, Vietnam",21.0367286,105.8534301,[],5.0,parking Hà Nội,Hà Nội
55,56,Bãi Xe 68 Chu Văn An,"Address: XRC5+RCW, ĐL Chu Văn An, Thanh Liệt, Thanh Trì, Hà Nội, Vietnam",20.9721177,105.8085842,"[""OK. Very convenient""]",4.6,parking Hà Nội,Hà Nội
56,57,Bãi xe Bát Tràng - Xuân Quan,"Address: Cống Xuân Quan, Khu đô thị Ecopark, Gia Lâm, Hà Nội, Vietnam",20.9730109,105.9198668,"[""I have sent goods here, very reputable, reasonable price""]",4.5,parking Hà Nội,Hà Nội
57,58,"Bãi đỗ xe Ô tô đình Giáp Tứ (đỗ xe ngày, đêm, theo tháng)","Address: 33 Ngách 143/74 Phố Nguyễn Chính, Thịnh Liệt, Hoàng Mai, Hà Nội, Vietnam",20.9761118,105.8511079,[],4.7,parking Hà Nội,Hà Nội
58,59,Bãi xe Tuấn Trọc,"Address: XVJV+VGP, Lĩnh Nam, Hoàng Mai, Hà Nội, Vietnam",20.9822103,105.8938192,[],4.3,parking Hà Nội,Hà Nội
59,60,Bãi đỗ xe 81 Láng Hạ,"Address: 17 Ng. 81 P. Láng Hạ, Chợ Dừa, Ba Đình, Hà Nội, Vietnam",21.0177942,105.8168796,"[""24/24 monthly ticket:\n300k motorbike\n2,500k car""]",4.0,parking Hà Nội,Hà Nội
60,61,Bãi giữ xe Linh Lang - Phan Kế Bính,"Address: P. Linh Lang/Lane 62 P. Phan Kế Bính, Cống Vị, Ba Đình, Hà Nội, Vietnam",21.034806,105.8103702,"[""Convenient location, reasonable price""]",4.5,parking Hà Nội,Hà Nội
61,62,Hầm Gửi Xe Mễ Trì Hạ,"Address: Đ. Mễ Trì, Khu đô thị Mễ Trì Hạ, Nam Từ Liêm, Hà Nội 12012, Vietnam",21.0143398,105.7816885,"[""Good place for a walk"", ""I have parked my car several times and found it very clean and the price is reasonable. I will definitely come back next time.""]",4.9,parking Hà Nội,Hà Nội
62,63,Bãi xe GT,"Address: 2 P. Huỳnh Tấn Phát, Thạch Bàn, Long Biên, Hà Nội, Vietnam",21.0251767,105.9051243,"[""Do you accept motorbikes there?""]",5.0,parking Hà Nội,Hà Nội
63,64,Bãi Xe Tổng Cục 5,"Address: 3/12/123 Đ. Yên Xá, Tân Triều, Thanh Trì, Hà Nội, Vietnam",20.9730653,105.7959768,[],3.9,parking Hà Nội,Hà Nội
64,65,Bến Xe Mỹ Đình,"Address: Xã, Lô 24A Khu đất giá đất, Mỹ Đình, Nam Từ Liêm, Hà Nội, Vietnam",21.0283794,105.7776771,"[""My Dinh bus station is currently one of the major bus stations in Hanoi city and is located on ring road 3 where there is a heavy traffic volume. According to regulations, My Dinh bus station currently only serves passenger buses from the …""]",4.1,parking Hà Nội,Hà Nội
65,66,Công Ty Cp Liên Hợp Ô Tô Thành Đô - Garage Ô Tô Hà Thành,"Address: 953 Đ. Tam Trinh, Yên Sở, Hoàng Mai, Hà Nội, Vietnam",20.9717681,105.8668346,"[""Through Tien Trung 537 TT reported brake light switch 700n, luckily Thanh Do checked for short tie and turned it up, asked how much it cost and heard the answer depends on the situation.""]",3.0,parking Hà Nội,Hà Nội
66,67,Bến xe buýt Long Biên,"Address: E3.2 Điểm Trung Chuyển Long Biên, Trúc Bạch, Ba Đình, Hà Nội, Vietnam",21.041225,105.849589,"[""bac ninh to long bien using bus 54"", ""When going from Hanoi to Bac Ninh, Long Bien is the final stop. It is complicated to move around Hanoi city with many cars."", ""I can't even say it's beautiful.\nEveryone was waiting quietly, but the atmosphere around them made it a bit chaotic. …""]",4.3,parking Hà Nội,Hà Nội
67,68,Gara Khang Ninh,"Address: 55 P. Tứ Liên, Tứ Liên, Tây Hồ, Hà Nội, Vietnam",21.0647482,105.8337437,"[""Beautiful garage!""]",4.6,parking Hà Nội,Hà Nội
68,69,156 parking Phuong Liet,"Address: 86/35 P. Phương Liệt, Phương Liệt, Thanh Xuân, Hà Nội, Vietnam",20.9970109,105.8387855,"[""Protect wealth. Not even 1 minute after entering, I came out to collect money 😏 …"", ""Go in and give the goods to the garage and ask for 5 thousand... you're lying"", ""Came in to deliver the goods and then walked out and lost 5k...""]",2.0,parking Hà Nội,Hà Nội
69,70,Bãi gửi xe C1,"Address: 2R4V+XCX, P. Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội, Vietnam",21.0074865,105.8435941,"[""The parking lot is clean and has many shielding buildings so it is quite cool""]",4.5,parking Hà Nội,Hà Nội
70,71,Dirt Town Gara,"Address: Hanoi City, 53 ngõ 172/55 Đ. Âu Cơ, Quảng An, Tây Hồ, Hà Nội 100000, Vietnam",21.0675723,105.8309998,[],,parking Hà Nội,Hà Nội
71,72,Số 119 - Ngõ 24 Kim Đồng - Bãi trông giữ xe ôtô,"Address: 119 Ng. 24 P. Kim Đồng, Giáp Bát, Hoàng Mai, Hà Nội 100000, Vietnam",20.9798651,105.8429116,[],4.0,parking Hà Nội,Hà Nội
72,73,Bãi Xe CX1 VOV,"Address: Bãi Xe VOV, 2/46 Lương Thế Vinh, Trung Văn, Nam Từ Liêm, Hà Nội 10000, Vietnam",20.9925111,105.7949492,[],,parking Hà Nội,Hà Nội
73,74,Bãi Xe Chùa Bộc,"Address: 8 P. Chùa Bộc, Quang Trung, Đống Đa, Hà Nội 11514, Vietnam",21.0073957,105.8293817,"[""Have to walk a distance from Vincom Pham Ngoc Thach and Khuong Thuong market, but the parking lot is spacious, cheap and the service quality is much better than the arrogant and contemptuous attitude of Vincom and Khuong Thuong market."", ""Dishonest security guard, ticket price 5k said 10k then told to transfer to private account, luckily I paid attention"", ""The parking lot has quite a few parking spaces for cars but quite a few parking spaces for motorbikes. Row A (the first row close to the entrance) often has 2-3 seats blocking the parking space for \""special guests\"" even though the parking …""]",2.0,parking Hà Nội,Hà Nội
74,75,Bãi gửi xe viện Phổi,"Address: 25 Ngh. 6/30 P. Đội Nhân, Vĩnh Phú, Ba Đình, Hà Nội, Vietnam",21.0414985,105.8123838,"[""The parking lot is right next to the gate of 2 lung hospitals. I send from morning to noon for 50k"", ""The parking lot is moderately large, if the car is full you have to leave the key, the car price is 40k one time.""]",4.3,parking Hà Nội,Hà Nội
75,76,Bãi xe Đồng Xa 2,"Address: Unnamed Road, Hoàng Mai, Hà Nội, Vietnam",20.9835987,105.8718431,[],5.0,parking Hà Nội,Hà Nội
76,77,Bãi rửa xe đỗ xe,"Address: Vĩnh Hưng, Hoàng Mai, Hanoi, Vietnam",20.9834615,105.8704131,"[""Good, the bus guys come up to relax after 8 hours of work.""]",5.0,parking Hà Nội,Không xác định
77,78,Đội Xe Bệnh Viện 108,"Address: 39 Đ. Trần Khánh Dư, Bạch Đằng, Hai Bà Trưng, Hà Nội, Vietnam",21.0146432,105.862224,[],3.5,parking Hà Nội,Hà Nội
78,79,Garage RVC Hà Anh,"Address: 68 Đ. Cổ Linh, Long Biên, Hà Nội, Vietnam",21.0255316,105.8992808,"[""Thoughtful, trustworthy, enthusiastic\nThe ideal destination to take care of your wife"", ""Enthusiastic, thoughtful and trustworthy. Wish you further development."", ""A very good place to repair and customize cars. Especially pickup trucks.""]",4.6,parking Hà Nội,Hà Nội
79,80,Bãi Xe Limousine - Asia Transport Vietnam,"Address: 129/Đ. Bát Khối/16 60, Tổ 7, Long Biên, Hà Nội, Vietnam",21.0253414,105.8875289,"[""Drivers keep their cars clean."", ""My friends and I used to go on tours from this parking lot, everything was carefully and thoughtfully prepared."", ""I found the parking lot organized scientifically, cars parked neatly, easy to get in without having to wait long.""]",5.0,parking Hà Nội,Hà Nội
80,81,Oanh's Parking Garage,"Address: XPGW+867, Dương Kinh, Hà Đông, Hà Nội, Vietnam",20.9757876,105.7455411,[],,parking Hà Nội,Hà Nội
81,82,Hầm để xe S2,"Address: 2P4Q+GCP, Tây Mỗ, Nam Từ Liêm, Hà Nội, Vietnam",21.0063306,105.7385812,"[""The cellar is a bit cramped.""]",4.0,parking Hà Nội,Hà Nội
82,83,Bãi Đỗ Xe 195 Định Công Hạ,"Address: 195 Định Công Hạ, Định Công, Hoàng Mai, Hà Nội 100000, Vietnam",20.9828599,105.8254294,"[""Parking lot on defense land"", ""The ugliest stadium in Hanoi""]",3.0,parking Hà Nội,Hà Nội
83,84,Hai bà Trưng,"Address: 72 Đ. Nguyễn Khoái, Thanh Trì, Hoàng Mai, Hà Nội, Vietnam",20.997203,105.885224,[],,parking Hà Nội,Hà Nội
84,85,Hatico Hà Nội,"Address: 136 P. Việt Hưng, Phố Lệ Mật, Long Biên, Hà Nội, Vietnam",21.0520398,105.8983856,"[""Thank you b. I have found the address of company b"", ""The beach is so majestic. Too many trailers""]",5.0,parking Hà Nội,Hà Nội
85,86,Bãi đỗ xe TDP Đông Ngạc 1,"Address: 97 Đ. Đông Ngạc, Đông Ngạc, Bắc Từ Liêm, Hà Nội, Vietnam",21.0927489,105.7814958,[],3.5,parking Hà Nội,Hà Nội
86,87,Gara Đại Hiệp (Dũng),"Address: Trụ cầu, 31 Đ. Tân Xuân, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội 15000, Vietnam",21.0788205,105.7861459,"[""Good services for car""]",5.0,parking Hà Nội,Hà Nội
87,88,Car Park Lala House CS4,"Address: Ng. 32 P. An Dương, Yên Phụ, Tây Hồ, Hà Nội 10000, Vietnam",21.0510641,105.8415714,[],,parking Hà Nội,Hà Nội
88,89,Bãi xe Tĩnh Văn Quán,"Address: 265 Chiến Thắng, P. Văn Quán, Hà Đông, Hà Nội, Vietnam",20.9764136,105.7980059,"[""Good service parking lot""]",4.8,parking Hà Nội,Hà Nội
89,90,Bãi xe vận tải bắc nam,"Address: 632 Đ. Lĩnh Nam, Trần Phú, Hoàng Mai, Hà Nội, Vietnam",20.9796342,105.8877131,"[""Easy to see, easy to identify""]",4.9,parking Hà Nội,Hà Nội
90,91,Bến xe 559,"Address: Tổ 21, Thanh Trì, Hoàng Mai, Hà Nội, Vietnam",20.9897085,105.8959696,"[""Go to the middle road with a sign to the coal port, next to the gas station""]",4.1,parking Hà Nội,Hà Nội
91,92,Bãi xe Vic A36,"Address: Hồ Tùng Mậu Hà Nội Hanoi City, 10000, Vietnam",21.0387273,105.7709706,[],,parking Hà Nội,Hà Nội
92,93,Bãi xe Công ty ô tô Hà Noii,"Address: 3VGF+RVG, Đông Hội, Đông Anh, Hà Nội, Vietnam",21.077064,105.874713,[],,parking Hà Nội,Hà Nội
93,94,Phùng khoang điểm đỗ,"Address: lô 6 Ng.67 Đ. Phùng Khoang, Trung Văn, Nam Từ Liêm, Hà Nội, Vietnam",20.9869368,105.7931327,"[""The shop repairs clothes, sews clothes for customers, irons clothes, etc....""]",5.0,parking Hà Nội,Hà Nội
94,95,Điểm Trông Giữ Xe Ô Tô,"Address: 60, Đường Gia Quất, Phường Thượng Thanh, Quận Long Biên, Thành Phố Hà Nội, Thượng Thanh, Long Biên, Hà Nội, Vietnam",21.0532227,105.878258,"[""Cool and easy to find""]",4.0,parking Hà Nội,Hà Nội
95,96,Bãi xe 2 bệnh viện 108,"Address: 5 P. Trần Thánh Tông, Phạm Đình Hổ, Hai Bà Trưng, Hà Nội, Vietnam",21.0149981,105.8597561,[],,parking Hà Nội,Hà Nội
96,97,Bãi Đỗ Xe Số 2 Định Công,"Address: Dinh Cong Car Parking No 2, Phố P. Trần Điền, Định Công, Hoàng Mai, Hà Nội, Vietnam",20.986452,105.8273795,"[""Late at night, I parked right on the sidewalk and carefully left my phone number on the dashboard but no one called. When I went to pick up my car in the morning, it was stopped and I couldn't let it out and my tire was punctured. My …"", ""Spacious, with car wash service and convenient gas station next door. The surrounding sidewalks are a bit dirty and the smell is probably due to the environmental sanitation department's garbage truck being left there. The road in front is not yet clear for traffic and is quite bumpy."", ""Convenient, enthusiastic staff""]",4.2,parking Hà Nội,Hà Nội
97,98,Bãi đỗ xe chợ gốm Bát Tràng,"Address: Thôn 2 Đ. Bát Tràng, Bát Tràng, Gia Lâm, Hà Nội 100000, Vietnam",20.974404,105.9120035,"[""A bit difficult to find if following google map. But just keep walking around and you'll see it. The car parking fee is quite expensive at 40k/car"", ""Probably only tourists come here so prices are very high (10k/bike/trip)"", ""Parking 40,000 dong""]",4.0,parking Hà Nội,Hà Nội
